ID,xmlid,type,label,uri
309,p150_2,paragraph,"150,2",https://digitalzibaldone.net/paragraph/p150_2
310,p150_3,paragraph,"150,3",https://digitalzibaldone.net/paragraph/p150_3
311,p151_1,paragraph,"151,1",https://digitalzibaldone.net/paragraph/p151_1
312,p151_2,paragraph,"151,2",https://digitalzibaldone.net/paragraph/p151_2
313,p151_3,paragraph,"151,3",https://digitalzibaldone.net/paragraph/p151_3
314,p152_1,paragraph,"152,1",https://digitalzibaldone.net/paragraph/p152_1
315,p152_2,paragraph,"152,2",https://digitalzibaldone.net/paragraph/p152_2
316,p153_1,paragraph,"153,1",https://digitalzibaldone.net/paragraph/p153_1
317,p153_2,paragraph,"153,2",https://digitalzibaldone.net/paragraph/p153_2
318,p154_1,paragraph,"154,1",https://digitalzibaldone.net/paragraph/p154_1
319,p155_1,paragraph,"155,1",https://digitalzibaldone.net/paragraph/p155_1
320,p156_1,paragraph,"156,1",https://digitalzibaldone.net/paragraph/p156_1
321,p157_1,paragraph,"157,1",https://digitalzibaldone.net/paragraph/p157_1
322,p157_2,paragraph,"157,2",https://digitalzibaldone.net/paragraph/p157_2
323,p158_1,paragraph,"158,1",https://digitalzibaldone.net/paragraph/p158_1
324,p159_1,paragraph,"159,1",https://digitalzibaldone.net/paragraph/p159_1
325,p159_2,paragraph,"159,2",https://digitalzibaldone.net/paragraph/p159_2
326,p160_1,paragraph,"160,1",https://digitalzibaldone.net/paragraph/p160_1
327,p160_2,paragraph,"160,2",https://digitalzibaldone.net/paragraph/p160_2
328,p161_1,paragraph,"161,1",https://digitalzibaldone.net/paragraph/p161_1
329,p162_1,paragraph,"162,1",https://digitalzibaldone.net/paragraph/p162_1
330,p162_2,paragraph,"162,2",https://digitalzibaldone.net/paragraph/p162_2
331,p163_1,paragraph,"163,1",https://digitalzibaldone.net/paragraph/p163_1
332,p164_1,paragraph,"164,1",https://digitalzibaldone.net/paragraph/p164_1
333,p164_2,paragraph,"164,2",https://digitalzibaldone.net/paragraph/p164_2
334,p165_1,paragraph,"165,1",https://digitalzibaldone.net/paragraph/p165_1
335,p167_1,paragraph,"167,1",https://digitalzibaldone.net/paragraph/p167_1
336,p169_1,paragraph,"169,1",https://digitalzibaldone.net/paragraph/p169_1
337,p172_1,paragraph,"172,1",https://digitalzibaldone.net/paragraph/p172_1
338,p177_1,paragraph,"177,1",https://digitalzibaldone.net/paragraph/p177_1
339,p179_1,paragraph,"179,1",https://digitalzibaldone.net/paragraph/p179_1
340,p181_1,paragraph,"181,1",https://digitalzibaldone.net/paragraph/p181_1
341,p183_1,paragraph,"183,1",https://digitalzibaldone.net/paragraph/p183_1
342,p183_2,paragraph,"183,2",https://digitalzibaldone.net/paragraph/p183_2
343,p183_3,paragraph,"183,3",https://digitalzibaldone.net/paragraph/p183_3
344,p183_4,paragraph,"183,4",https://digitalzibaldone.net/paragraph/p183_4
345,p184_1,paragraph,"184,1",https://digitalzibaldone.net/paragraph/p184_1
346,p185_1,paragraph,"185,1",https://digitalzibaldone.net/paragraph/p185_1
347,p185_2,paragraph,"185,2",https://digitalzibaldone.net/paragraph/p185_2
